name,slug,nationality,countryCode,club,league,position,positionGroup,birthDate,heightCm,preferredFoot,active,popularity,imageUrl,clubLogoUrl
Martin Ødegaard,martin-degaard,Norway,NO,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-12-17,,,true,50,,https://crests.football-data.org/57.png
Mikel Merino,mikel-merino,Spain,ES,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1996-06-22,,,true,50,,https://crests.football-data.org/57.png
Declan Rice,declan-rice,England,GB,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1999-01-14,,,true,50,,https://crests.football-data.org/57.png
Christian Nørgaard,christian-n-rgaard,Denmark,DK,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1994-03-10,,,true,50,,https://crests.football-data.org/57.png
Fabio Vieira,fabio-vieira,Portugal,PT,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-05-30,,,true,50,,https://crests.football-data.org/57.png
Martín Zubimendi,martin-zubimendi,Spain,ES,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1999-02-02,,,true,50,,https://crests.football-data.org/57.png
Ethan Nwaneri,ethan-nwaneri,England,GB,Arsenal FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2007-03-21,,,true,50,,https://crests.football-data.org/57.png
Kai Havertz,kai-havertz,Germany,DE,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,1999-06-11,,,true,50,,https://crests.football-data.org/57.png
Gabriel Jesus,gabriel-jesus,Brazil,BR,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,1997-04-03,,,true,50,,https://crests.football-data.org/57.png
Reiss Nelson,reiss-nelson,England,GB,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,1999-12-10,,,true,50,,https://crests.football-data.org/57.png
Viktor Gyökeres,viktor-gyokeres,Sweden,SE,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,1998-06-04,,,true,50,,https://crests.football-data.org/57.png
Martinelli,martinelli,Brazil,BR,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,2001-06-18,,,true,50,,https://crests.football-data.org/57.png
Bukayo Saka,bukayo-saka,England,GB,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,2001-09-05,,,true,50,,https://crests.football-data.org/57.png
Christos Tzolis,christos-tzolis,Greece,GR,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,2002-01-30,,,true,50,,https://crests.football-data.org/57.png
Noni Madueke,noni-madueke,England,GB,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,2002-03-10,,,true,50,,https://crests.football-data.org/57.png
Max Dowman,max-dowman,England,GB,Arsenal FC,PREMIER_LEAGUE,Forward,FORWARD,2009-12-31,,,true,50,,https://crests.football-data.org/57.png
Emiliano Martínez,emiliano-martinez,Argentina,AR,Aston Villa FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1992-09-02,,,true,50,,https://crests.football-data.org/58.png
Marco Bizot,marco-bizot,Netherlands,NL,Aston Villa FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1991-03-10,,,true,50,,https://crests.football-data.org/58.png
Joe Gauci,joe-gauci,Australia,AU,Aston Villa FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2000-07-04,,,true,50,,https://crests.football-data.org/58.png
Zion Suzuki,zion-suzuki,Japan,JP,Aston Villa FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2002-08-21,,,true,50,,https://crests.football-data.org/58.png
Oliwier Zych,oliwier-zych,Poland,PL,Aston Villa FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2004-06-28,,,true,50,,https://crests.football-data.org/58.png
Lucas Digne,lucas-digne,France,FR,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1993-07-20,,,true,50,,https://crests.football-data.org/58.png
Victor Nilsson-Lindelöf,victor-nilsson-lindelof,Sweden,SE,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1994-07-17,,,true,50,,https://crests.football-data.org/58.png
Ezri Konsa,ezri-konsa-1,England,GB,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-10-23,,,true,50,,https://crests.football-data.org/58.png
Aaron Wan-Bissaka,aaron-wan-bissaka,Congo DR,CD,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-11-26,,,true,50,,https://crests.football-data.org/58.png
Tyrone Mings,tyrone-mings,England,GB,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1993-03-13,,,true,50,,https://crests.football-data.org/58.png
Matty Cash,matty-cash,Poland,PL,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-08-07,,,true,50,,https://crests.football-data.org/58.png
Pau Torres,pau-torres,Spain,ES,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-01-16,,,true,50,,https://crests.football-data.org/58.png
Ian Maatsen,ian-maatsen,Netherlands,NL,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-03-10,,,true,50,,https://crests.football-data.org/58.png
Matteo Ruggeri,matteo-ruggeri,Italy,IT,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-07-11,,,true,50,,https://crests.football-data.org/58.png
Andrés Garcia,andres-garcia,Spain,ES,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-02-07,,,true,50,,https://crests.football-data.org/58.png
Kosta Nedeljković,kosta-nedeljkovic,Serbia,RS,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-12-16,,,true,50,,https://crests.football-data.org/58.png
Modou Keba Cisse,modou-keba-cisse,Senegal,SN,Aston Villa FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-08-04,,,true,50,,https://crests.football-data.org/58.png
Leon Goretzka,leon-goretzka,Germany,DE,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1995-02-06,,,true,50,,https://crests.football-data.org/58.png
Ross Barkley,ross-barkley,England,GB,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1993-12-05,,,true,50,,https://crests.football-data.org/58.png
Boubacar Kamara,boubacar-kamara,France,FR,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1999-11-23,,,true,50,,https://crests.football-data.org/58.png
John McGinn,john-mcginn,Scotland,GB,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1994-10-18,,,true,50,,https://crests.football-data.org/58.png
Morgan Rogers,morgan-rogers,England,GB,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-07-26,,,true,50,,https://crests.football-data.org/58.png
Amadou Onana,amadou-onana,Belgium,BE,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-08-16,,,true,50,,https://crests.football-data.org/58.png
João Gomes,joao-gomes,Brazil,BR,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-02-12,,,true,50,,https://crests.football-data.org/58.png
Lamare Bogarde,lamare-bogarde,Netherlands,NL,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-01-05,,,true,50,,https://crests.football-data.org/58.png
Johan Manzambi,johan-manzambi,Switzerland,CH,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2005-10-14,,,true,50,,https://crests.football-data.org/58.png
George Hemmings,george-hemmings,England,GB,Aston Villa FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2007-03-04,,,true,50,,https://crests.football-data.org/58.png
Leon Bailey,leon-bailey,Jamaica,JM,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,1997-08-09,,,true,50,,https://crests.football-data.org/58.png
Ollie Watkins,ollie-watkins,England,GB,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,1995-12-30,,,true,50,,https://crests.football-data.org/58.png
Tammy Abraham,tammy-abraham,England,GB,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,1997-10-02,,,true,50,,https://crests.football-data.org/58.png
Emiliano Buendía,emiliano-buendia,Argentina,AR,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,1996-12-25,,,true,50,,https://crests.football-data.org/58.png
Evann Guessand,evann-guessand,Ivory Coast,CI,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2001-07-01,,,true,50,,https://crests.football-data.org/58.png
Nicolas Jackson,nicolas-jackson,Senegal,SN,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2001-06-20,,,true,50,,https://crests.football-data.org/58.png
Lewis Dobbin,lewis-dobbin,England,GB,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2003-01-03,,,true,50,,https://crests.football-data.org/58.png
Alejandro Garnacho,alejandro-garnacho,Argentina,AR,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2004-07-01,,,true,50,,https://crests.football-data.org/58.png
Alysson,alysson,Brazil,BR,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2006-05-05,,,true,50,,https://crests.football-data.org/58.png
Bradley Burrowes,bradley-burrowes,England,GB,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2008-03-04,,,true,50,,https://crests.football-data.org/58.png
Brian Madjo,brian-madjo,Luxembourg,LU,Aston Villa FC,PREMIER_LEAGUE,Forward,FORWARD,2009-01-12,,,true,50,,https://crests.football-data.org/58.png
Emiliano Martínez,emiliano-martinez-1,Argentina,AR,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1992-09-02,,,true,50,,https://crests.football-data.org/61.png
Robert Sánchez,robert-sanchez,Spain,ES,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1997-11-18,,,true,50,,https://crests.football-data.org/61.png
Gabriel Slonina,gabriel-slonina,USA,US,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2004-05-15,,,true,50,,https://crests.football-data.org/61.png
Filip Jörgensen,filip-jorgensen,Denmark,DK,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2002-04-16,,,true,50,,https://crests.football-data.org/61.png
Teddy Sharman-Lowe,teddy-sharman-lowe,England,GB,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2003-01-19,,,true,50,,https://crests.football-data.org/61.png
Mike Penders,mike-penders,Belgium,BE,Chelsea FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2005-07-31,,,true,50,,https://crests.football-data.org/61.png
Axel Disasi,axel-disasi,France,FR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-03-11,,,true,50,,https://crests.football-data.org/61.png
Trevoh Chalobah,trevoh-chalobah,England,GB,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-07-05,,,true,50,,https://crests.football-data.org/61.png
Tosin Adarabioyo,tosin-adarabioyo,England,GB,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-09-24,,,true,50,,https://crests.football-data.org/61.png
Wesley Fofana,wesley-fofana,France,FR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-12-17,,,true,50,,https://crests.football-data.org/61.png
Reece James,reece-james,England,GB,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-12-08,,,true,50,,https://crests.football-data.org/61.png
Maxence Lacroix,maxence-lacroix,France,FR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-04-06,,,true,50,,https://crests.football-data.org/61.png
Pep Chavarría,pep-chavarria,Spain,ES,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,1998-04-10,,,true,50,,https://crests.football-data.org/61.png
Malo Gusto,malo-gusto,France,FR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-05-19,,,true,50,,https://crests.football-data.org/61.png
Benoît Badiashile,benoit-badiashile,France,FR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-03-26,,,true,50,,https://crests.football-data.org/61.png
Levi Colwill,levi-colwill,England,GB,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2003-02-26,,,true,50,,https://crests.football-data.org/61.png
Caleb Wiley,caleb-wiley,USA,US,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2004-12-22,,,true,50,,https://crests.football-data.org/61.png
Jorrel Hato,jorrel-hato,Netherlands,NL,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-03-07,,,true,50,,https://crests.football-data.org/61.png
Mamadou Sarr,mamadou-sarr,Senegal,SN,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-08-29,,,true,50,,https://crests.football-data.org/61.png
Marco Palestra,marco-palestra,Italy,IT,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-03-03,,,true,50,,https://crests.football-data.org/61.png
Aaron Anselmino,aaron-anselmino,Argentina,AR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-04-29,,,true,50,,https://crests.football-data.org/61.png
Josh Acheampong,josh-acheampong,England,GB,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-05-05,,,true,50,,https://crests.football-data.org/61.png
Denner,denner,Brazil,BR,Chelsea FC,PREMIER_LEAGUE,Defender,DEFENDER,2008-02-25,,,true,50,,https://crests.football-data.org/61.png
Jordan Henderson,jordan-henderson,England,GB,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1990-06-17,,,true,50,,https://crests.football-data.org/61.png
Morgan Rogers,morgan-rogers-1,England,GB,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-07-26,,,true,50,,https://crests.football-data.org/61.png
Enzo Fernández,enzo-fernandez,Argentina,AR,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-01-17,,,true,50,,https://crests.football-data.org/61.png
Moisés Caicedo,moises-caicedo,Ecuador,EC,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-11-02,,,true,50,,https://crests.football-data.org/61.png
Cole Palmer,cole-palmer,England,GB,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-05-06,,,true,50,,https://crests.football-data.org/61.png
Dario Essugo,dario-essugo,Portugal,PT,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2005-03-14,,,true,50,,https://crests.football-data.org/61.png
Valentin Barco,valentin-barco,Argentina,AR,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-07-23,,,true,50,,https://crests.football-data.org/61.png
Romeo Lavia,romeo-lavia,Belgium,BE,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-01-06,,,true,50,,https://crests.football-data.org/61.png
Ray Paez,ray-paez,Ecuador,EC,Chelsea FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2007-05-04,,,true,50,,https://crests.football-data.org/61.png
Pedro Neto,pedro-neto,Portugal,PT,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2000-03-09,,,true,50,,https://crests.football-data.org/61.png
Danny Welbeck,danny-welbeck,England,GB,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,1990-11-26,,,true,50,,https://crests.football-data.org/61.png
Mykhailo Mudryk,mykhailo-mudryk,Ukraine,UA,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2001-01-05,,,true,50,,https://crests.football-data.org/61.png
João Pedro,joao-pedro,Brazil,BR,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2001-09-26,,,true,50,,https://crests.football-data.org/61.png
Emanuel Emegha,emanuel-emegha,Netherlands,NL,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2003-02-03,,,true,50,,https://crests.football-data.org/61.png
Liam Delap,liam-delap,England,GB,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2003-02-08,,,true,50,,https://crests.football-data.org/61.png
Nicolas Jackson,nicolas-jackson-1,Senegal,SN,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2001-06-20,,,true,50,,https://crests.football-data.org/61.png
Jamie Bynoe-Gittens,jamie-bynoe-gittens,England,GB,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2004-08-08,,,true,50,,https://crests.football-data.org/61.png
Alejandro Garnacho,alejandro-garnacho-1,Argentina,AR,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2004-07-01,,,true,50,,https://crests.football-data.org/61.png
Marc Guiu,marc-guiu,Spain,ES,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2006-01-04,,,true,50,,https://crests.football-data.org/61.png
Geovany Quenda,geovany-quenda,Guinea-Bissau,GW,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2007-04-30,,,true,50,,https://crests.football-data.org/61.png
Estevao,estevao,Brazil,BR,Chelsea FC,PREMIER_LEAGUE,Forward,FORWARD,2007-04-24,,,true,50,,https://crests.football-data.org/61.png
Jordan Pickford,jordan-pickford,England,GB,Everton FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1994-03-07,,,true,50,,https://crests.football-data.org/62.png
Thomas King,thomas-king,Wales,GB,Everton FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1995-03-09,,,true,50,,https://crests.football-data.org/62.png
Mark Travers,mark-travers,Ireland,IE,Everton FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1999-05-18,,,true,50,,https://crests.football-data.org/62.png
James Tarkowski,james-tarkowski,England,GB,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,1992-11-19,,,true,50,,https://crests.football-data.org/62.png
Michael Keane,michael-keane,England,GB,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,1993-01-11,,,true,50,,https://crests.football-data.org/62.png
Vitalii Mykolenko,vitalii-mykolenko,Ukraine,UA,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-05-29,,,true,50,,https://crests.football-data.org/62.png
Jarrad Branthwaite,jarrad-branthwaite,England,GB,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,2002-06-27,,,true,50,,https://crests.football-data.org/62.png
Jake O'Brien,jake-o-brien,Ireland,IE,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-05-15,,,true,50,,https://crests.football-data.org/62.png
Nathan Patterson,nathan-patterson,Scotland,GB,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,2001-10-16,,,true,50,,https://crests.football-data.org/62.png
Adam Aznou,adam-aznou,Morocco,MA,Everton FC,PREMIER_LEAGUE,Defender,DEFENDER,2006-06-02,,,true,50,,https://crests.football-data.org/62.png
Christian Nørgaard,christian-n-rgaard-1,Denmark,DK,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1994-03-10,,,true,50,,https://crests.football-data.org/62.png
James Garner,james-garner,England,GB,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2001-03-13,,,true,50,,https://crests.football-data.org/62.png
Hayden Hackney,hayden-hackney,England,GB,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-06-26,,,true,50,,https://crests.football-data.org/62.png
Kiernan Dewsbury Hall,kiernan-dewsbury-hall,England,GB,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-09-06,,,true,50,,https://crests.football-data.org/62.png
Carlos Alcaraz,carlos-alcaraz,Argentina,AR,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-11-30,,,true,50,,https://crests.football-data.org/62.png
Merlin Röhl,merlin-rohl,Germany,DE,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-07-05,,,true,50,,https://crests.football-data.org/62.png
Tim Iroegbunam,tim-iroegbunam,England,GB,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2002-08-12,,,true,50,,https://crests.football-data.org/62.png
Harrison Armstrong,harrison-armstrong,England,GB,Everton FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2007-01-19,,,true,50,,https://crests.football-data.org/62.png
Dwight McNeil,dwight-mcneil,England,GB,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,1999-11-22,,,true,50,,https://crests.football-data.org/62.png
Iliman Ndiaye,iliman-ndiaye,Senegal,SN,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,2000-03-06,,,true,50,,https://crests.football-data.org/62.png
Brennan Johnson,brennan-johnson,Wales,GB,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,2001-05-23,,,true,50,,https://crests.football-data.org/62.png
Beto,beto,Guinea-Bissau,GW,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,1998-01-31,,,true,50,,https://crests.football-data.org/62.png
Thierno Barry,thierno-barry,France,FR,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,2000-01-12,,,true,50,,https://crests.football-data.org/62.png
Tyler Dibling,tyler-dibling,England,GB,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,2006-02-17,,,true,50,,https://crests.football-data.org/62.png
Tyrique George,tyrique-george,England,GB,Everton FC,PREMIER_LEAGUE,Forward,FORWARD,2006-02-04,,,true,50,,https://crests.football-data.org/62.png
Bernd Leno,bernd-leno,Germany,DE,Fulham FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1992-03-04,,,true,50,,https://crests.football-data.org/63.png
Benjamin Lecomte,benjamin-lecomte,France,FR,Fulham FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,1991-04-26,,,true,50,,https://crests.football-data.org/63.png
Alex Borto,alex-borto,United States,US,Fulham FC,PREMIER_LEAGUE,Goalkeeper,GOALKEEPER,2003-11-06,,,true,50,,https://crests.football-data.org/63.png
Timothy Castagne,timothy-castagne,Belgium,BE,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1995-12-05,,,true,50,,https://crests.football-data.org/63.png
Joachim Andersen,joachim-andersen,Denmark,DK,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1996-05-31,,,true,50,,https://crests.football-data.org/63.png
Antonee Robinson,antonee-robinson,USA,US,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-08-08,,,true,50,,https://crests.football-data.org/63.png
Ryan Sessegnon,ryan-sessegnon,England,GB,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,2000-05-18,,,true,50,,https://crests.football-data.org/63.png
Issa Diop,issa-diop,France,FR,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1997-01-09,,,true,50,,https://crests.football-data.org/63.png
Kenny Tete,kenny-tete,Netherlands,NL,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1995-10-09,,,true,50,,https://crests.football-data.org/63.png
Jorge Cuenca,jorge-cuenca,Spain,ES,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-11-17,,,true,50,,https://crests.football-data.org/63.png
Calvin Bassey,calvin-bassey,Nigeria,NG,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,1999-12-31,,,true,50,,https://crests.football-data.org/63.png
Luc De Fougerolles,luc-de-fougerolles,Canada,CA,Fulham FC,PREMIER_LEAGUE,Defender,DEFENDER,2005-10-12,,,true,50,,https://crests.football-data.org/63.png
Tom Cairney,tom-cairney,England,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1991-01-20,,,true,50,,https://crests.football-data.org/63.png
Harrison Reed,harrison-reed,England,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1995-01-27,,,true,50,,https://crests.football-data.org/63.png
Sander Berge,sander-berge,Norway,NO,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1998-02-14,,,true,50,,https://crests.football-data.org/63.png
Saša Lukić,sasa-lukic,Serbia,RS,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,1996-08-13,,,true,50,,https://crests.football-data.org/63.png
Emile Smith Rowe,emile-smith-rowe,England,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2000-07-28,,,true,50,,https://crests.football-data.org/63.png
Luke Harris,luke-harris,Wales,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2005-04-03,,,true,50,,https://crests.football-data.org/63.png
Shea Charles,shea-charles,Northern Ireland,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2003-11-05,,,true,50,,https://crests.football-data.org/63.png
Joshua King,joshua-king,England,GB,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2007-01-03,,,true,50,,https://crests.football-data.org/63.png
César Palacios,cesar-palacios,Spain,ES,Fulham FC,PREMIER_LEAGUE,Midfielder,MIDFIELDER,2004-11-11,,,true,50,,https://crests.football-data.org/63.png
Alex Iwobi,alex-iwobi,Nigeria,NG,Fulham FC,PREMIER_LEAGUE,Forward,FORWARD,1996-05-03,,,true,50,,https://crests.football-data.org/63.png
